*** A (/course/2041639/goethe-zertifikat-b1-wortliste/1/)
ab	from
kennen	to know
kennenlernen	to get to know, meet
die Kenntnisse	knowledge
das Kennzeichen	number plate
die Kerze	candle
die Kette	chain
das Kind	child
der Kindergarten	kindergarten
die Kindheit	childhood
das Kino	cinema
der Kiosk	kiosk
die Kirche	church
die Kiste	case, box
das Kissen	pillow
klagen	to complain
klappen	to work (well), gp as planned
klar	clear
klären	to resolve; to clarify
klasse	class, great
die Klasse	class
die Klassenarbeit	class test
das Klavier	piano
kleben	to stick
das Kleid	dress
die Kleidung	clothes
klein	small
klettern	to climb
klicken	to click
der Klick	click
das Klima	climate
die Klimaanlage	air conditioner
klingeln	to ring
die Klingel	door bell
klingen	to sound
die Klinik	clinic, hospital
klopfen	to knock
der Kloß	dumpling
klug	clever
knapp	tight, scarce, short, just
die Kneipe	pub
das Knie	knee
der Knochen	bone
der Knödel	dumpling
der Knopf	button
kochen	to cook
der Koch	cook
der Koffer	suitcase
der Kollege	colleague
die Kollegin	colleague (female)
komisch	strange, funny, odd
kommen	to come
die Kommunikation	communication
komplett	completely
kompliziert	complicated
der Kompromiss	compromise
die Konferenz	conference
der Konflikt	conflict
der König	king
die Konkurrenz	competition
können	to be able to
das Konsulat	consulate
konsumieren	to consume
der Konsum	consumption
der Kontakt	contact
das Konto	account
das Girokonto	current account
kontrollieren	to control
die Kontrolle	inspection
sich konzentrieren	to concentrate
das Konzert	concert
der Kopf	head
kopieren	to copy
die Kopie	copy
der Kopierer	copier
der Körper	body
körperlich	physical
korrekt	correct
der Korridor	corridor
korrigieren	to correct
kosten	to cost,
die Kosten	costs
kostenlos	free
das Kostüm	costume, suit
die Kraft	strength
kräftig	strong
das Kraftfahrzeug	motor vehicle
das Kraftwerk	power station
krank	ill, sick
der Kranke	sick-person, invalid
das Krankenhaus	hospital
die Krankenkasse	health insurance
der Krankenpfleger	male nurse
die Krankenschwester	female nurse
der Krankenwagen	ambulance
die Krankheit	illness
kreativ	creative
der Kredit	credit, loan
die Kreditkarte	credit card
der Kreis	circle
das Kreuz	cross
die Kreuzung	crossing, junction
der Krieg	war
kriegen	to get, receive
kriminal-	criminal
Die Kriminalpolizei	Criminal Investigation Department
der Krimi	thriller, crime film or TV programme
die Krise	crisis
kritisieren	to criticise
die Kritik	criticism
kritisch	critical
die Küche	kitchen
der Kuchen	cake
der Kugelschreiber	ball-point pen, biro
der Kuli	Biro
kühl	cool
der Kühlschrank	fridge
die Kultur	culture
kulturell	cultural
sich kümmern	to look after
der Kunde	customer
kündigen	to give one's notice, terminate
die Kündigung	termination
die Kunst	art
der Künstler	artist
künstlich	artificial
der Kunststoff	artificial material
der Kurs	course
der Kursleiter	course leader
die Kurve	curve
kurz	short
kürzlich	lately, recently
küssen	to kiss
der Kuss	kiss
die Küste	coast
*** L (/course/2041639/goethe-zertifikat-b1-wortliste/12/)
lächeln	to smile
lachen	to laugh
der Laden	shop
die Lage	position, situation, place
das Lager	camp, store room
die Lampe	lamp
das Land	land, country, state
die Landwirtschaft	agriculture
die Landschaft	countryside, landscape
landen	to land
die Landung	landing
lang	long
lange	for a long time
die Länge	length
die Langeweile	boredom
langsam	slow
längst	long (time) ago
langweilig	boring
sich langweilen	to be bored
der Lärm	noise
lassen	to let, allow, have done
der Laster	lorry, truck
laufen	to run
das Laufwerk	(computer) drive, running gear
die Laune	mood
laut	loud
der Lautsprecher	loud speaker
lecker	delicious
leben	to live
das Leben	life
der Lebenslauf	curriculum vitae, CV
die Lebensmittel	food
das Leder	leather
ledig	single
leer	empty
legen	to lay, put, place, lie down
die Lehre	apprenticeship
die Lehrstelle	apprenticeship places
der Lehrer	teacher
die Lehrerin	teacher (female)
der Lehrling	apprentice, trainee
leicht	light
leid tun	to be sorry
leiden	to suffer
leider	unfortunately
leihen	to lend, barrow
leise	quiet
leisten	to supply, afford
die Leistung	performance, achievement
leiten	to lead, manage, direct
der Leiter	leader, head
die Leitung	management
die Leiter	ladder
lernen	to learn
der Lerner	learner
lesen	to read
der Leser	reader
letzt	last
die Leute	people
das Lexikon	dictionary
das Licht	light
lieben	to love
lieb	dear, sweet, nice
die Liebe	love
Lieblings-	favourite
das Lied	song
liefern	to deliver
die Lieferung	delivery
liegen	to lie (place/ location)
der Lift	lift
die Limonade	lemonade
die Linie	line
links	left
die Lippe	lip
die Literatur	literature
die Liste	list
loben	to praise
das Loch	hole
locker	loose, relaxed
der Löffel	spoon
der Lohn	salary
sich lohnen	to be worthwhile, to pay off
das Lokal	pub
los	go on, the matter
losfahren	to leave
löschen	to put out, erase, cancel
lösen	to solve, buy (ticket)
die Lösung	solution
die Luft	air
lügen	to lie
die Lüge	lie
die Lust	desire
lustig	funny
*** M (/course/2041639/goethe-zertifikat-b1-wortliste/13/)
machen	to make, do
das Mädchen	girl
das Magazin	magazine
der Magen	stomach
mager	lean
die Mahlzeit	meal
die Mahnung	warning, reminder
das Mal	time
jedes Mal	every time, always
malen	to draw
der Maler	painter
man	one
manch-	some
manchmal	sometimes
der Mangel	lack, shortage
der Mann	man
männlich	male
die Mannschaft	team
der Mantel	coat, jacket
die Mappe	briefcase, folder
das Märchen	fairytale
die Margarine	margarine
die Marke	mark, brand, stamp
markieren	to mark
der Markt	market
die Marmelade	jam
die Maschine	machine
das Material	material
die Mauer	wall
maximal	maximum
der Mechaniker	mechanic
die Medien	media
das Medikament	medicine
die Medizin	medicine
das Meer	sea
das Mehl	flour
mehr	more
mehrere	several
die Mehrheit	majority
die Mehrwertsteuer	value added tax, VAT
meinen	to mean, think
meinetwegen	on my account, as far as I'm concerned
die Meinung	opinion
meist-	most (adj.)
die meisten	most (of them)
meistens	mostly
der Meister	master, champion
melden	to report, register, put one's hand up, volunteer
die Meldung	announcement, report
die Menge	quantity, lot (of)
die Mensa	canteen
der Mensch	human being, person
menschlich	human, humane
das Menü	menu
merken	to notice
merkwürdig	odd, strange
die Messe	exhibition, fair
messen	to measure
das Messer	knife
das Metall	metal
die Methode	method
die Metropole	metropolis
der Metzger	butcher
mieten	to rent
die Miete	rent
der Mieter	tenant
der Migrant	migrant
die Migration	migration
die Milch	milk
mild	mild
die Minderheit	minority
mindestens	at least
das Mineralwasser	mineral water
minimal	minimal
mischen	to mix
misserfolg	failure
misstrauen	mistrust
missverstanden	to misunderstand
das Missverständnis	misunderstanding
mit	with
der Mitarbeiter	employee
die Mitarbeiterin	employee (fem.)
miteinander	together, with one another
das Mitglied	member
das Mittel	means
die Mitte	middle
mitteilen	to take part
mitten	in the middle of
mittler-	middle
mittlerweile	meanwhile
das Möbel	furniture
möbliert	furnished
möchten	to want (to have), like (to have)
mobil	mobile
die Mobilbox	mobile (answering) box
die Mobilität	mobility
das Mobiltelefon	mobile telephone
die Mode	fashion
das Modell	model
modern	modern
mögen	to like
möglich	possible
die Möglichkeit	possibility
möglichst	as...as possible
die Möhre	carrot
der Moment	moment
der Mond	moon
der Monitor	monitor
der Motor	motor
das Motorrad	motorbike
müde	tired
die Mühe	effort
der Müll	rubbish, trash
die Müllabfuhr	garbage/ rubbish collection, collectors
die Mülltonne	dustbin
der Mund	mouth
mündlich	oral
die Münze	coin
das Museum	museum
die Musik	music
der Musiker	musician
musikalisch	musical
der Muskel	muscle
das Müesli	muesli, granola
müssen	to have to
der Mut	courage
mutig	brave
die Mutter	mother
die Muttersprache	mother tongue
*** N (/course/2041639/goethe-zertifikat-b1-wortliste/14/)
nach	after, towards
der Nachbar	neighbour
nachdem	after
nachdenken	to think about, reflect
die Nachfrage	inquiry, demand
nachher	afterwards
die Nachhilfe	extra (private) tutoring
die Nachricht	news
nachschlagen	to look up
die Nachspeise	dessert
der Nachteil	disadvantage
der Nachwuchs	offspring
die Nadel	needle
der Nagel	nail
nah(e)	near
die Nähe	near, proximity, vicinity
nähen	to sew
sich nähern	to approach, to get close
das Nahrungsmittel	food
der Name	name
der Familienname	family name
der Vorname	first name
nämlich	namely
die Nase	nose
nass	wet
national	national
die Natur	nature
natürlich	naturally, of course
der Nebel	fog
neblig	foggy
neben	next to
nebenan	next door
nebenbei	on the side, in addition
der Neffe	nephew
negativ	negative
nehmen	to take
nein	no
nennen	to name, call
der Nerv	nerve
nervös	nervous
nett	nice
das Netz	net, network
das Netzwerk	network
neu	new
die Neuigkeit	news
neugierig	curious
neulich	recently, the other day
nicht	not, don't
die Nichte	niece
der Nichtraucher	non-smoker
nichts	nothing
nie	never
niedrig	low
niemand	no one, nobody
nirgends	nowhere
nirgendwo	nowhere
noch	still, yet
nochmal(s); noch mal	again
normal	normal
normalerweise	normally
die Notaufnahme	Emergency department
der Notausgang	emergency exit
der Notfall	emergency
der Notruf	emergency call
die Note	note, grades
notieren	to note
nötig	necessary
die Notiz	note
notwendig	important
die Nudel	noodle
die Nummer	number
nun	now
nur	just, only
nutzen	to be of use
nützen	to use
nützlich	useful
*** O (/course/2041639/goethe-zertifikat-b1-wortliste/15/)
ob	whether
oben	above, upstairs
der Ober	waiter
das Obst	fruit
obwohl	although
oder	or
der Ofen	oven
offen	open
öffentlich	public
die Öffentlichkeit	public
veröffentlichen	to publish
offenbar	obvious, apparently
offiziell	official
öffnen	to open
oft	often
öfter	more often, repeatedly
ohne	without
das Ohr	ear
Öko-	eco
das Öl	oil
die Oma	grandma
der Onkel	uncle
der Opa	granddad
die Oper	opera
operieren	to operate
die Operation	operation
das Opfer	victim
optimistisch	optimistic
die Orange	orange
das Orchester	orchestra
ordentlich	decent, respectable, tidy, neat
ordnen	to order, put in order
der Ordner	folder
die Ordnung	order, tidiness
organisieren	to organise
die Organisation	organisation
das Original	original
original	original
der Ort	place
der Vorort	suburbs
der Wohnort	place of residence
der Ozean	ocean
*** P (/course/2041639/goethe-zertifikat-b1-wortliste/16/)
paar	pair, couple
das Paar	couple
packen	to pack
das Paket	packet, parcel
die Panne	breakdown
das Papier	paper
parallel	parallel
das Parfüm	perfume
der Park	park
parken	to park
der Partner	partner
die Party	party
der Pass	passport
der Passagier	passenger
passen	to fit
passieren	to happen
passiv	passive
der Patient	patient
die Patientin	patient (fem.)
pauschal	all inclusive, flat-rate
die Pause	break, pause
das Pech	bad luck
peinlich	embarrassing
die Pension	pension (small hotel)
in Pension gehen/ sein	to retire/ be retired
pensioniert werden/ sein	to become / to be pensioned off
der Pensionist	pensioner
per	by, per
perfekt	perfect
die Person	person
persönlich	personal, personal data
die Personalien	particulars
der Personenstand	marital status
das Personal	personnel
die Pfanne	(frying) pan
der Pfeffer	pepper
pflanzen	to plant
die Pflanze	plant
das Pflaster	plaster
die Pflaume	plum
pflegen	to look after, nurse, foster
der Pfleger	carer, nurse, orderly
die Pflicht	duty, compulsory
die Phantasie / die Fantasie	fantasy
das Picknick	picnic
die Pille	pill
der Pilz	mushroom
die Pizza	pizza
das Plakat	poster, placard
planen	to plan
der Plan	plan, map
die Planung	planning
das Plastik	plastic
der Platz	place, square
plötzlich	suddenly
die Politik	politics
der Politiker	politician
politisch	political
die Polizei	police
der Polizist	policeman
die Pommes frites	chips, french fries
populär	popular
das Portemonnaie / das Portmonee	wallet
die Portion	portion
positiv	positive
die Post	post
die Postleitzahl	postcode
das Praktikum	practical training, internship
der Praktikant	trainee, intern
praktisch	practical
präsentieren	to present
die Präsentation	presentation
die Praxis	practice
der Preis	price
preiswert	reasonable price
die Presse	press (newspapers)
prima	great
privat	private
pro	per
probieren	to try
das Problem	problem
produzieren	to produce
das Produkt	product
die Produktion	production
der Professor	professor
der Profi	professional
der Profisportler	professional sportsman
das Programm	programme
das Projekt	project
der Prospekt	leaflet, brochure
Prost	cheers
protestieren	to protest
der Protest	protest
der Prozess	trial, case, process
prüfen	to check, examine
die Prüfung	exam, test
das Publikum	public
der Pullover	jumper, pullover
der Punkt	point, dot, full stop
pünktlich	on time, punctual
die Puppe	doll
putzen	to clean
*** Q (/course/2041639/goethe-zertifikat-b1-wortliste/17/)
die Qualifikation	qualification
die Qualität	quality (relative excellence)
das Quartier	quarters (accommodation)
quer	crossways, diagonally across; cross (adj.)
die Quittung	receipt
das Quiz	quiz
*** R (/course/2041639/goethe-zertifikat-b1-wortliste/18/)
der Rabatt	discount
das Rad	wheel, bike
der Radfahrer	cyclist
das Radio	radio
der Rand	edge
der Rasen	lawn
(sich) rasieren	to shave
raten	to guess, to advise
der Rat	advice
der Ratschlag	piece of advice
das Rätsel	puzzle, riddle
das Rathaus	town hall
rauchen	to smoke
der Raucher	smoker
der Raum	room
rauf	up, upwards
raus	out
reagieren	to react
die Reaktion	reaction
realisieren	to realise
die Realität	reality
realistisch	realistic
die Recherche	research
rechnen	to calculate, do arithmetic
der Rechner	calculator
die Rechnung	bill
das Recht	right
recht	right
rechts	to the right
rechtzeitig	on time
rechtlich	legal, lawful, legitimate
reden	to talk, speak
die Rede	speech, talk
reduzieren	to reduce
das Referat	report, paper, section
die Reform	reform
das Regal	shelf
die Regel	rule
regelmäßig	regularly
regeln	to regulate, control
regnen	to rain
der Regen	rain
die Region	region
regional	regional
reich	rich
reichen	to be enough/ sufficient, reach
reif	ripe
der Reifen	tyre
die Reihe	row
die Reihenfolge	sequence
rein	pure, clear
reinigen	to clean
die Reinigung	cleaning, dry cleaning
der Reis	rice
reisen	to travel
die Reise	journey, voyage
das Reisebüro	travel office
reiten	to ride
die Reklame	advertising, advertisement
der Rekord	record
relativ	relative
die Religion	religion
rennen	to run
die Rente	pension
in Rente gehen/ sein	to retire/ go into pension
der Rentner	pensioner
reparieren	to repair
die Reparatur	repair
die Reportage	report
der Reporter	reporter
reservieren	to reserve
die Reservierung	reservation
der Respekt	respect
der Rest	rest
das Restaurant	restaurant
retten	to rescue
das Rezept	recipe
die Rezeption / die Reception	reception
der Richter	judge
richtig	right
die Richtung	direction
riechen	to smell
riesig	enormous
das Rind	ox, cow, beef
der Ring	ring
das Risiko	risk
der Rock	skirt
roh	raw
das Rohr	pipe, tube, cane; oven (Austria)
die Rolle	role
der Roman	novel
die Rose	rose
der Rucksack	rucksack
die Rückfahrt	return journey
die Rückkehr	return
rückwärts	backwards
der Rücken	back
die Rücksicht	consideration
rufen	to call
die Rufnummer	phone number
die Ruhe	rest, peace, quiet
ruhig	quiet
rund	round, around
die Runde	round, lap, circle
die Rundfahrt	round trip
runter	down (r..)
*** S (/course/2041639/goethe-zertifikat-b1-wortliste/19/)
der Saal	hall, room
die Sache	thing, affair
der Sack	sack
der Saft	juice
sagen	to say
die Sahne	cream
die Saison	season
der Salat	salad
die Salbe	ointment
der Salon	salon
das Salz	salt
salzig	salty
sammeln	to collect
sämtliche	all, complete
der Sand	sand
der Sänger	singer
satt	full
der Satz	sentence
sauber	clean
sauer	sour
die Schachtel	box, bag
schade	a pity, shame
schaden	to hurt, damage
der Schaden	damage
schädlich	damaging
schaffen	to make, manage, do, finish
schalten	to switch, turn
der Schalter	switch
scharf	spicy, hot
der Schatten	shade, shadow
schätzen	to estimate, value
schauen	to show
das Schaufenster	shop (show) window
der Schauspieler	actor
die Scheibe	slice, pane (of glass)
sich scheiden lassen	to separate, dissolve
geschieden	separated
die Scheidung	divorce
der Schein	note
scheinen	to shine, seem, appear
schenken	to give a present
die Schere	scissors
schicken	to send
schieben	to push
schief	crooked, leaning, sloping
schießen	to shoot, kick
das Schiff	ship
das Schild	sign
schimpfen	to grumble, complain, tell off
der Schinken	ham
der Schirm	umbrella
der Schlaf	sleep
schlafen	to sleep
schlagen	to strike, hit
die Schlange	queue
schlank	slim
schlecht	bad
schließen	to close, shut
schließlich	finally
schlimm	bad
das Schloss	lock, padlock, castle
der Schluss	end
der Schlüssel	key
schmal	narrow
schmecken	to taste
der Schmerz	pain
das Schmerzmittel	painkiller
schminken	to put on makeup
der Schmuck	jewelry
der Schmutz	dirt
schmutzig	dirty
verschmutzen	to soil, pollute
der Schnee	snow
schneien	to snow
(sich) schneiden	to cut
schnell	fast
das Schnitzel	schnitzel
der Schnupfen	cold
die Schokolade	chocolate
schon	already, just
schön	beautiful
der Schrank	cupboard
der Schreck	fright
schrecklich	terrible, dreadful
schreiben	to write
aufschreiben	to write down
das Schreiben	letter, communication
schreien	to scream
die Schrift	handwriting
schriftlich	written
der Schriftsteller	author
der Schritt	step, walk
der Schuh	shoe
die Schuld	fault (noun)
schuld sein	be to blame
schuldig	guilty
die Schulden	debt (pl)
die Schule	school
der Schüler	pupil
die Schülerin	pupil (fem.), school student
die Schulter	shoulder
die Schüssel	bowl
schütteln	to shake
schützen	to protect
der Schutz	protection
schwach	weak
schwanger	pregnant
die Schwangerschaft	pregnancy
schweigen	to be silent, keep quiet
schwer	heavy
die Schwester	sister
Schwieger-	in law
schwierig	difficult
die Schwierigkeit	difficulty
schwimmen	to swim
das Schwimmbad	swimming pool
schwitzen	to sweat
der See	lake
die See	ocean
sehen	to see
die Sehenswürdigkeit	sight
sehr	very
die Seife	soap
sein	to be
seit	since
seitdem	since (then)
die Seite	page
der Sekretär	secretary
selb-	same
selbst	self
selbstständig	self employed, independent
selbstverständlich	of course, obviously
selten	seldom
seltsam	strange
das Semester	semester
das Seminar	seminar
senden	to send
der Sender	(radio) Station
die Sendung	consignment, programme, transmission
die Senioren	seniors, old people
senkrecht	vertical
die Serie	series
der Service	service
der Sessel	chair
setzen	to place
(sich) setzen	to sit down
sicher	sure
die Sicherheit	security
sichern	to secure
sichtbar	visible
siegen	to win
der Sieg	win, victory
der Sieger	winner
(sich) siezen	to address as "Sie"
singen	to sing
sinken	to sink
der Sinn	sense
sinnlos	meaningless, senseless
sinnvoll	meaningful
die Situation	situation
sitzen	to sit
der Sitz	seat
der Ski / der Schi	ski
so	so, like this
sobald	as soon as
die Socke	sock
sodass	so that
das Sofa	sofa
sofort	immediately
sogenannt-	so-called
sogar	even
der Sohn	son
solange	as long as
solch-	such
sollen	to be supposed to
sonder-	special
das Sonderangebot	special offer
sondern	but (rather)
die Sonne	sun
sonnig	sunny
sonst	otherwise, other, usually, normally
sorgen	to worry
die Sorge	worry
die Soße  / die Sauce	sauce
das Souvenir	souvenir
soviel	as far as
so viel /so viel wie	so much
sowieso	anyway
sowohl...als auch	...both..and...
sozial	social
der Sozialarbeiter	social worker
spannend	exciting
sparen	to save
sparsam	economical, thrifty
der Spaß	fun
spät	late
spätestens	at the latest
spazieren gehen	to go for a walk, stroll
der Spaziergang	stroll
speichern	to save, store (data)
Speise	food
die Speisekarte	menu
der Speisewagen	dining car
Spezial-	special
der Spezialist	specialist
speziell	special
der Spiegel	mirror
spielen	to play
das Spiel	game
der Spieler	player
der Spielplatz	playground
das Spielzeug	toy
spitz	sharp, pointed
der Sport	sport
die Sportart	type of sport
der Sportler	sportsman
sportlich	sporting, sporty, athletic
die Sprache	language
die Fremdsprache	foreign language
die Muttersprache	mother language
die Zweitsprache	second language
sprechen	to speak, talk
die Sprechstunde	consultation (hour), surgery
springen	to jump
die Spritze	injection
spülen	to rinse, flush
die Spur	track, trace
spüren	to feel
das Stadion	stadium
die Stadt	city
städtisch	municipal
der Stadtplan	town map
stammen	to come from
ständig	permanent, constant
der Standpunkt	stand point
der Star	actor
stark	strong
starten	to start
der Start	start
die Station	station
die Statistik	statistic
statistisch	statistical
statt	instead of
stattfinden	to take place
der Stau	traffic jam
der Staub	dust
staubsaugen	to vacuum
stechen	to prick, stab, bite, sting
stecken	to put, insert, stick
die Steckdose	socket
der Stecker	plug
stehen	to stand
stehen bleiben	to stay
stehlen	to steal
steigen	to rise, climb
steil	steep
der Stein	stone
die Stelle	place, post, job
stellen	to put, set
der Stempel	stamp, postmark
sterben	to die
der Stern	star
die Steuer	tax
der Steward	steward
der Stift	pen
der Stil	style
stilistisch	stylistic
still	still, quiet
der Stiefel	boots
die Stimme	voice
stimmen	to be right, vote
die Stimmung	atmosphere, mood
stinken	to stink
der Stock	floor (of building)
das Stockwerk	storey
der Stoff	material, cloth
stolz	proud
stoppen	to stop
stören	to disturb
die Störung	disturbance, interference
(sich) stoßen	to shove, push, knock, bump
die Strafe	fine
strafbar	punishable
der Strafzettel	ticket (parking)
der Strand	beach
die Straße	street
die Strecke	stretch, distance
das Streichholz	matches
streiken	to strike
der Streik	strike
(sich) streiten	to argue
der Streit	argument
streng	strict
der Stress	stress
der Strom	current (electricity)
der Strumpf	tights
das Stück	piece
die Studie	study
studieren	to study
der Student	student
der Studierende	student
das Studium	studies
das Studio	studio
die Stufe	step, level
der Stuhl	chair
stumm	silent, dumb
die Stunde	hour
der Sturm	storm
stürzen	to fall
suchen	to search for, look for
die Sucht	addiction
süchtig	addictive
das Suchtmittel	addictive stuff
die Summe	sum
super	super
der Supermarkt	supermarket
die Suppe	soup
süß	sweet
das Symbol	symbol
sympathisch	likeable
das System	system
die Szene	scene
*** T (/course/2041639/goethe-zertifikat-b1-wortliste/20/)
die Tabelle	table
die Tablette	pill
die Tafel	table, blackboard
der Tagesablauf	daily routine
das Tal	valley
das Talent	talent
tanken	to fill fuel/ gas
die Tankstelle	fuel station
die Tante	aunt
tanzen	to dance
der Tanz	dance
die Tasche	pocket, handbag
das Taschengeld	pocket money
das Taschentuch	handkerchief
die Tasse	cup
die Tastatur	keyboard
die Taste	key (on a keyboard)
die Tat	act, deed, action
der Täter	perpetrator, culprit
die Tätigkeit	activity, occupation
die Tatsache	fact
tatsächlich	actual, really
taub	deaf
tauchen	to dive
tauschen	to change, swap
die Technik	technology, technique
technisch	technical
die Technologie	technology
der Tee	tea
Tee ziehen lassen	to let tea infuse (!)
teilen	to share
das/ der Teil	part
die Teilzeit	part-time
teilnehmen	to take part
die Teilnahme	participation
der Teilnehmer	participant
telefonieren	to telephone
das Telefon	telephone
der Teller	plate
die Temperatur	temperature
das Tempo	speed
das Tennis	tennis
der Teppich	carpet
der Termin	appointment
der Terminkalender	calendar
die Terrasse	terrace
testen	to test
der Test	test
teuer	expensive
der Text	text
das Theater	theatre
das Thema	subject, theme
theoretisch	theoretical
die Theorie	theory
die Therapie	therapy
das Ticket	ticket
tief	deep
das Tier	animal
der Tierpark	zoo, animal park
der Tipp	tip
tippen	to type
der Tisch	table
der Titel	title
die Tochter	daughter
der Tod	death
tödlich	deathly
die Toilette	toilet
tolerant	tolerant
toll	great
die Tomate	tomato
der Topf	pot
das Tor	gate, goal
die Torte	cake, flan, tart
tot	dead (Adj.)
die Tote	the dead (pl.); dead woman (sing.)
der Tote	dead man
total	totally, completely
der Tourismus	tourism
der Tourist	tourist
die Tradition	tradition
traditionell	traditional
tragen	to carry, wear
trainieren	to train
der Trainer	trainer, coach
das Training	training
das Tram	tram
die Träne	tear
der Transport	transport
transportieren	to transport
träumen	to dream
der Traum	dream
traurig	sad
treffen	to meet
der Treffpunkt	meeting point
treiben	to play sport
(sich) trennen	to separate
die Trennung	separation
getrennt leben	to live separate lives
die Treppe	stairs, steps
das Treppenhaus	staircase
treten	to step, step on
treu	true
trinken	to drink
das Trinkgeld	tip
trocken	dry
trocknen	to dry
die Tropfen	drops
trotz	despite, in spite of
trotzdem	nevertheless, although
das Tuch	cloth, scarf, towel
tun	to do, make
die Tür	door
der Turm	tower
die Tüte	bag
der Typ	type
typisch	typical
*** U (/course/2041639/goethe-zertifikat-b1-wortliste/21/)
die U-Bahn	underground train
üben	to practise
die Übung	practise
über	above, over, about
überall	everywhere
überfahren	to run over
überhaupt	at all, generally
überholen	to overtake,  pass, overhaul
überlegen	to consider
übermorgen	the day after tomorrow
übernachten	to sleep/ stay overnight
die Übernachtung	sleep over, stay
übernehmen	to take over
überprüfen	to check, examine
überqueren	to cross over
überraschen	to surprise
die Überraschung	surprise
überreden	to persuade
die Überschrift	heading, title
übersetzen	to translate
der Übersetzer	translator
die Übersetzung	translation
die Überstunde	overtime
übertreiben	to exaggerate
überweisen	to transfer, refer
die Überweisung	transfer, referral
(sich) überzeugen	to convince
die Überzeugung	conviction
üblich	usual, common
übrig	left over, remaining
übrigens	by the way
das Ufer	shore, bank
die Uhr	hour, time, watch
um	at, around
umarmen	to embrace
um...zu	(in order) to
(sich) umdrehen	to turn (round/over)
die Umfrage	survey
die Umgebung	surrounding
umgehen	to treat, handle
umgekehrt	reversed, contrary, the other way around
die Umleitung	diversion
umso	so much the...
umsonst	in vain, for nothing
umsteigen	to change (train, etc)
umtauschen	to exchange
der Umtausch	exchange
die Umwelt	environment
der Umweltschutz	environmental protection
die Umweltverschmutzung	pollution
umziehen	to move (house)
der Umzug	move, parade
sich umziehen	to change (clothes)
un-	prefix (for negation)
unbedingt	absolutely
und	and
der Unfall	accident
ungefähr	approximately, roughly
ungewöhnlich	unusual
unglaublich	incredible
das Unglück	misfortune, bad luck
unheimlich	eerie, scary, incredible
die Uniform	uniform
die Universität	university
unten	down
unter	under
unterbrechen	to interrupt
(sich) unterhalten	to amuse oneself, chat
die Unterhaltung	entertainment, conversation
die Unterkunft	accommodation
die Unterlagen	documents
unterlassen	to fail to do, refrain from
unternehmen	to do, go on, take steps
der Unternehmer	employer, entrepreneur
unterrichten	to teach
der Unterricht	lesson
untersagt	forbidden
unterscheiden	to distinguish
der Unterschied	difference
unterschiedlich	different
unterschreiben	to sign
die Unterschrift	signature
unterstreichen	to underline
unterstützen	to support
die Unterstützung	support
untersuchen	to examine, investigate, to have a medical
die Untersuchung	examination, investigation, inquiry
unterwegs	on the way
die Urkunde	certificate
der Urlaub	holiday
die Ursache	cause
verursachen	to cause
ursprünglich	original, originally
das Urteil	judgement, sentence
*** V (/course/2041639/goethe-zertifikat-b1-wortliste/22/)
die Vase	vase
der Vater	father
vegetarisch	vegetarian
(sich) verabreden	to arrange to meet
verabredet	already manage to meet so
die Verabredung	appointment, meeting
(sich) verabschieden	to say goodbye
(sich) verändern	to change
die Veranstaltung	event, function
verantwortlich	responsible
die Verantwortung	responsibility
(sich) verbessern	to improve
verbieten	to forbid
das Verbot	prohibition, ban
verboten	prohibited
verbinden	to connect, combine, bandage
die Verbindung	connection
verbrauchen	to need
der Verbrecher	criminal
(sich) verbrennen	to burn, cremate
verbringen	to spend
der Verdacht	suspicion
verdächtig	suspicious
verdienen	to earn
der Verein	club, association
vereinbaren	to agree upon
die Vergangenheit	the past
vergeblich	futile, in vain
vergessen	to forget
vergleichen	to compare
der Vergleich	comparison
sich vergnügen	to enjoy oneself
das Vergnügen	pleasure
vergnügt	cheerful
vergrößern	to enlarge
verhaften	to arrest
sich verhalten	to behave
das Verhalten	behaviour
das Verhältnis	relationship
verheiratet	married
verhindern	to prevent
verkaufen	to sell
der Verkäufer	seller, salesman
der Verkehr	traffic
das Verkehrsmittel	transport
der Verlag	publishing company
verlangen	to request, demand
verlängern	to extend
verlassen	to leave
sich verlaufen	to get lost
(sich) verletzen	to injure
die Verletzung	injury
sich verlieben	to fall in love
verliebt	in love
verlieren	to lose
der Verlierer	loser
der Verlust	loss, casualty
vermeiden	to avoid
vermieten	to rent
der Vermieter	landlord
die Vermietung	rent
vermissen	to miss
die Vermittlung	agency
vermuten	to suppose, suspect
vermutlich	probably, supposed, presume
vernünftig	sensible, reasonable
verpacken	to pack
verpassen	to miss (a scheduled thing)
verpflegen	to feed, cater for
verpflichtet	obliged, required
verraten	to betray, divulge, give away
verreisen	to go away (for a journey)
verrückt	crazy
die Versammlung	meeting, gathering
versäumen	to miss, neglect, lose
verschieben	to postpone, shift
verschieden	different
verschreiben	to prescribe, use up
verschwinden	to disappear, vanish
versichern	to insure, assure
die Versichertenkarte	insurance card
die Versicherung	insurance
die Verspätung	delay
versprechen	to promise
verständlich	understandable
das Verständnis	understanding
(sich) verstecken	to hide
(sich) verstehen	to understand
versuchen	to try
der Versuch	attempt, experiment
verteilen	to distribute
der Vertrag	contract
vertrauen	to trust
das Vertrauen	trust
vertreten	to represent, replace, cover for
der Vertreter	cover, replacement
die Vertretung	representation, advocacy
verurteilen	to condemn, sentence
die Verwaltung	management, administration
verwandt	related (to)
